"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-D","HS23071021-24","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-D","HS23071021-24","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.053,"mg/L",1,"RL",0.01,0.05,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH-D","HS23071021-24","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.612,"mg/L",1,"RL",0.02,0.05,NA,FALSE,TRUE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GB","HS23071021-09","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",9,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GB","HS23071021-09","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GB","HS23071021-09","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.07,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GB","HS23071021-09","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.838,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GB","HS23071021-09","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1200,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH","HS23071021-10","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.9,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH","HS23071021-10","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.84,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","MT1","Outflow","K-MT1-01-GBH","HS23071021-10","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99798,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
