"SAMPLE.ID","LAB.ID","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","REPORT.BASIS","PERCENT.MOISTURE","PERCENT.SOLID","non.detect","duplicate","location.name","treatment.name","method.name","event.type"
"BT-G4-RVMID","2207213-5","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.11,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Berthoud","River Middl","Grab Sample","Point Sample"
"BT-G4-TDR","2207213-6","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Tile Drainage Rive","Grab Sample","Point Sample"
"BT-G4-TDR","2207213-6","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Tile Drainage Rive","Grab Sample","Point Sample"
"BT-G4-TDR","2207213-6","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Berthoud","Tile Drainage Rive","Grab Sample","Point Sample"
"BT-G4-TDR","2207213-6","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",4.1,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Tile Drainage Rive","Grab Sample","Point Sample"
"BT-G4-TDR","2207213-6","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.11,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Berthoud","Tile Drainage Rive","Grab Sample","Point Sample"
"HOL-G4-CON","2207213-7","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",2.8,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Confluenc","Grab Sample","Point Sample"
"HOL-G4-CON","2207213-7","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",3.4,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Confluenc","Grab Sample","Point Sample"
"HOL-G4-CON","2207213-7","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Confluenc","Grab Sample","Point Sample"
"HOL-G4-CON","2207213-7","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",4.2,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Confluenc","Grab Sample","Point Sample"
"HOL-G4-CON","2207213-7","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.34,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Confluenc","Grab Sample","Point Sample"
"HOL-G4-DOWN","2207213-8","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",10,"PRL",1.9,2,"As Received",NA,NA,TRUE,TRUE,"Big Hollow","Downstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-DOWN","2207213-8","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,TRUE,"Big Hollow","Downstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-DOWN","2207213-8","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",10,"PRL",3.4,7.5,"As Received",NA,NA,TRUE,TRUE,"Big Hollow","Downstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-DOWN","2207213-8","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",0,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,TRUE,TRUE,"Big Hollow","Downstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-DOWN","2207213-8","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.28,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,TRUE,"Big Hollow","Downstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-UP","2207213-9","EPA300.0 [300Nitrate]_W","14797-55-8","NITRATE AS N",0,"MG/L",25,"PRL",4.7,5,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Upstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-UP","2207213-9","EPA353.2 [353.2NO2NO3]_W","1-005","NITRATE/NITRITE AS N",0,"MG/L",10,"PRL",0.095,0.2,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Upstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-UP","2207213-9","EPA300.0 [300OPHOS]_W","14265-44-2","ORTHOPHOSPHATE AS P",0,"MG/L",25,"PRL",8.5,19,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Upstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-UP","2207213-9","EPA200.8 [SE200.8]_W","7782-49-2","SELENIUM",0,"UG/L",10,"PRL",NA,1.5,"As Received",NA,NA,TRUE,FALSE,"Big Hollow","Upstream of Bridg","Grab Sample","Point Sample"
"HOL-G4-UP","2207213-9","EPA365.2 [365.2TPHOS]_W","7723-14-0","TOTAL PHOSPHORUS",0.14,"MG/L",1,"PRL",0.033,0.05,"As Received",NA,NA,FALSE,FALSE,"Big Hollow","Upstream of Bridg","Grab Sample","Point Sample"
